ds,yhat,yhat_lower,yhat_upper
2026-11-02,46529.83091866708,44203.339372733724,48856.32246460044
2026-11-03,46465.7540310341,44142.46632948239,48789.04173258581
2026-11-04,46401.67714340112,44081.59328623106,48721.761000571176
2026-11-05,46337.60025576812,44020.72024297971,48654.48026855653
2026-11-06,46273.52336813514,43959.84719972838,48587.1995365419
2026-11-07,46209.446480502156,43898.974156477045,48519.91880452727
2026-11-08,46145.36959286916,43838.1011132257,48452.63807251262
2026-11-09,46081.29270523618,43777.228069974364,48385.35734049799
2026-11-10,46017.215817603195,43716.35502672303,48318.07660848336
2026-11-11,45953.13892997021,43655.4819834717,48250.79587646873
2026-11-12,45889.06204233722,43594.60894022035,48183.51514445408
2026-11-13,45824.985154704234,43533.73589696902,48116.23441243945
2026-11-14,45760.90826707125,43472.862853717685,48048.95368042482
2026-11-15,45696.831379438256,43411.989810466344,47981.67294841017
2026-11-16,45632.75449180527,43351.11676721501,47914.392216395536
2026-11-17,45568.67760417229,43290.24372396368,47847.111484380905
2026-11-18,45504.600716539295,43229.37068071233,47779.83075236626
2026-11-19,45440.52382890631,43168.497637461,47712.55002035163
2026-11-20,45376.44694127333,43107.624594209665,47645.269288337
2026-11-21,45312.370053640334,43046.75155095832,47577.98855632235
2026-11-22,45248.29316600735,42985.878507706984,47510.70782430772
2026-11-23,45184.21627837437,42925.00546445565,47443.42709229309
2026-11-24,45120.13939074139,42864.13242120432,47376.14636027846
2026-11-25,45056.06250310839,42803.25937795297,47308.86562826381
2026-11-26,44991.98561547541,42742.38633470164,47241.58489624918
2026-11-27,44927.90872784243,42681.513291450305,47174.30416423455
2026-11-28,44863.83184020943,42620.64024819896,47107.0234322199
2026-11-29,44799.75495257645,42559.767204947624,47039.74270020527
2026-11-30,44735.678064943466,42498.89416169629,46972.46196819064
2026-12-01,44671.60117731047,42438.02111844494,46905.181236175995
