Meter_ID,DMA_Zone,Hour_bucket,Flow_std_hourly,Energy_hourly,Avg_Pressure,Read_Count
MET-101,DMA-A,2024-01-01 05:00:00,1066.857,4.15,2.53,1
MET-101,DMA-A,2024-01-08 10:00:00,1036.565,3.85,6.55,1
MET-101,DMA-A,2024-01-10 20:00:00,230.373,0.9,3.31,1
MET-101,DMA-A,2024-01-15 13:00:00,470.926,1.87,6.6,1
MET-101,DMA-A,2024-01-18 08:00:00,1064.69,4.303,6.6,1
MET-101,DMA-A,2024-01-20 02:00:00,294.671,1.198,6.66,1
MET-101,DMA-A,2024-02-01 09:00:00,1172.388,4.65,2.94,1
MET-101,DMA-A,2024-02-09 02:00:00,1194.877,3.24,5.86,1
MET-101,DMA-A,2024-02-15 01:00:00,997.552,3.879,7.0,1
MET-101,DMA-A,2024-02-27 02:00:00,63.669,0.23,3.5,1
MET-101,DMA-A,2024-03-02 21:00:00,557.476,2.216,5.57,1
MET-101,DMA-A,2024-03-08 17:00:00,1201.596,4.439,5.46,1
MET-101,DMA-A,2024-03-12 16:00:00,136.437,0.49,3.67,1
MET-101,DMA-A,2024-03-12 19:00:00,133.827,3.045,5.47,1
MET-101,DMA-A,2024-03-23 00:00:00,1028.247,3.751,6.7,1
MET-101,DMA-A,2024-03-27 05:00:00,1428.494,5.75,3.46,1
MET-101,DMA-A,2024-04-06 12:00:00,1448.307,5.36,4.23,1
MET-101,DMA-A,2024-04-19 13:00:00,161.161,0.61,4.7,1
MET-101,DMA-A,2024-05-25 20:00:00,504.589,1.964,4.64,1
MET-101,DMA-A,2024-05-31 00:00:00,448.489,1.956,4.7,1
MET-101,DMA-A,2024-06-09 03:00:00,1119.503,3.98,4.84,1
MET-101,DMA-A,2024-06-20 04:00:00,544.617,2.09,3.16,1
MET-101,DMA-A,2024-06-24 06:00:00,1394.73,5.58,5.17,1
MET-101,DMA-A,2024-07-03 21:00:00,747.504,2.678,6.88,1
MET-101,DMA-A,2024-07-11 00:00:00,1394.548,5.33,3.99,1
MET-101,DMA-A,2024-07-12 05:00:00,1289.188,4.663,6.39,1
MET-101,DMA-A,2024-08-18 23:00:00,205.802,0.752,5.91,1
MET-101,DMA-A,2024-08-27 21:00:00,642.845,2.408,2.6,1
MET-101,DMA-A,2024-08-29 01:00:00,1079.774,2.42,4.3,1
MET-101,DMA-A,2024-09-10 02:00:00,812.106,2.985,4.26,1
MET-101,DMA-A,2024-09-14 00:00:00,917.713,3.64,5.32,1
MET-101,DMA-A,2024-09-21 09:00:00,952.346,3.616,6.89,1
MET-101,DMA-A,2024-10-10 00:00:00,482.048,1.926,3.89,1
MET-101,DMA-A,2024-10-20 06:00:00,1174.311,5.83,3.43,1
MET-101,DMA-A,2024-10-22 10:00:00,715.592,2.645,6.23,1
MET-101,DMA-A,2024-10-23 07:00:00,1108.923,4.208,2.9,1
MET-101,DMA-A,2024-11-11 07:00:00,711.66,2.693,3.59,1
MET-101,DMA-A,2024-11-14 16:00:00,1416.389,5.08,3.97,1
MET-101,DMA-A,2024-11-16 02:00:00,1234.616,4.367,4.81,1
MET-101,DMA-A,2024-11-23 01:00:00,585.525,2.41,2.8,1
MET-101,DMA-A,2024-11-26 03:00:00,913.511,3.417,4.95,1
MET-101,DMA-A,2024-12-24 02:00:00,763.212,3.393,6.63,1
MET-101,DMA-A,2025-01-09 12:00:00,1444.823,5.565,4.72,1
MET-101,DMA-A,2025-01-17 23:00:00,1406.702,1.31,6.84,1
MET-101,DMA-A,2025-01-25 05:00:00,1002.218,4.03,3.94,1
MET-101,DMA-A,2025-02-03 16:00:00,1351.493,5.07,2.68,1
MET-101,DMA-A,2025-02-09 02:00:00,1144.553,4.459,3.92,1
MET-101,DMA-A,2025-02-24 06:00:00,445859.319,1.69,3.77,1
MET-101,DMA-A,2025-02-27 15:00:00,1421.879,5.529,3.25,1
MET-101,DMA-A,2025-03-05 02:00:00,1407.237,5.4,3.36,1
MET-101,DMA-A,2025-03-06 01:00:00,948.464,3.938,6.29,1
MET-101,DMA-A,2025-03-06 04:00:00,1308.619,5.158,6.74,1
MET-101,DMA-A,2025-03-07 10:00:00,1217.117,4.5,6.01,1
MET-101,DMA-A,2025-03-12 11:00:00,273.92,1.05,3.79,1
MET-101,DMA-A,2025-03-15 14:00:00,636.56,2.35,3.42,1
MET-101,DMA-A,2025-03-16 20:00:00,462.574,1.74,6.35,1
MET-101,DMA-A,2025-03-19 21:00:00,369.538,1.43,6.35,1
MET-101,DMA-A,2025-04-13 05:00:00,367.496,2.98,4.03,1
MET-101,DMA-A,2025-04-15 02:00:00,205.856,0.82,4.06,1
MET-101,DMA-A,2025-04-23 01:00:00,1378.722,5.264,3.82,1
MET-101,DMA-A,2025-05-10 08:00:00,753.445,2.745,2.54,1
MET-101,DMA-A,2025-05-11 12:00:00,1043.108,4.19,3.5,1
MET-101,DMA-A,2025-05-12 05:00:00,376.278,1.407,6.84,1
MET-101,DMA-A,2025-05-25 23:00:00,148.09,0.58,5.59,1
MET-101,DMA-A,2025-05-26 10:00:00,492.239,1.77,3.53,1
MET-101,DMA-A,2025-05-30 15:00:00,584.081,1.77,5.52,1
MET-101,DMA-A,2025-06-14 15:00:00,190.468,0.723,4.3,1
MET-101,DMA-A,2025-06-17 01:00:00,617.151,2.36,4.3,1
MET-101,DMA-A,2025-06-23 00:00:00,825.16,3.04,4.44,1
MET-101,DMA-A,2025-06-29 19:00:00,1914.73,3.85,3.97,1
MET-101,DMA-A,2025-07-16 05:00:00,836.188,3.046,5.15,1
MET-101,DMA-A,2025-07-26 12:00:00,146.118,0.557,5.03,1
MET-101,DMA-A,2025-08-01 21:00:00,855.245,3.327,4.79,1
MET-101,DMA-A,2025-08-03 03:00:00,222.392,0.822,6.73,1
MET-101,DMA-A,2025-08-07 12:00:00,224.658,2.01,5.81,1
MET-101,DMA-A,2025-08-11 15:00:00,1468.224,5.6,2.85,1
MET-101,DMA-A,2025-08-11 22:00:00,461.521,1.77,62.0,1
MET-101,DMA-A,2025-08-27 03:00:00,868.944,3.15,3.11,1
MET-101,DMA-A,2025-09-10 00:00:00,1137.954,4.108,5.09,1
MET-101,DMA-A,2025-09-22 12:00:00,1008.308,4.103,3.16,1
MET-101,DMA-A,2025-10-05 07:00:00,1048.258,3.98,3.16,1
MET-101,DMA-A,2025-11-01 03:00:00,497.709,1.86,3.39,1
MET-101,DMA-A,2025-11-07 23:00:00,258.03,1.03,3.76,1
MET-101,DMA-A,2025-11-10 14:00:00,941.981,3.65,5.81,1
MET-101,DMA-A,2025-11-13 06:00:00,1132.532,4.399,4.74,1
MET-101,DMA-A,2025-11-14 19:00:00,440.497,1.57,4.23,1
MET-101,DMA-A,2025-11-20 16:00:00,169.291,0.677,6.21,1
MET-101,DMA-A,2025-11-28 22:00:00,1099.757,4.191,3.73,1
MET-101,DMA-A,2025-12-08 09:00:00,166.159,0.621,2.97,1
MET-101,DMA-A,2025-12-09 12:00:00,645.046,2.52,6.95,1
MET-101,DMA-A,2025-12-24 11:00:00,254.512,0.97,34.0,1
MET-101,DMA-A,2026-01-14 03:00:00,552.475,2.3,6.26,1
MET-101,DMA-A,2026-01-19 01:00:00,783.516,3.13,0.0,1
MET-101,DMA-A,2026-01-19 14:00:00,766.141,2.876,4.15,1
MET-101,DMA-A,2026-01-20 08:00:00,423.481,1.513,3.43,1
MET-101,DMA-A,2026-02-08 23:00:00,303.989,1.14,3.22,1
MET-101,DMA-A,2026-02-10 13:00:00,65.97,0.231,2.56,1
MET-101,DMA-A,2026-02-14 20:00:00,1451.251,5.562,3.73,1
MET-101,DMA-A,2026-02-19 11:00:00,334.972,1.33,4.16,1
MET-101,DMA-A,2026-02-27 22:00:00,328.614,5.33,3.82,1
MET-101,DMA-A,2026-03-11 00:00:00,370.056,1.35,6.11,1
MET-102,DMA-A,2024-01-13 16:00:00,942.899,3.698,3.33,1
MET-102,DMA-A,2024-01-16 22:00:00,2245.512,8.447,2.62,1
MET-102,DMA-A,2024-01-17 10:00:00,894.165,3.386,3.73,1
MET-102,DMA-A,2024-01-28 20:00:00,741.411,2.826,6.04,1
MET-102,DMA-A,2024-02-08 02:00:00,1763.278,6.386,0.0,1
MET-102,DMA-A,2024-03-14 12:00:00,1174.811,4.717,3.02,1
MET-102,DMA-A,2024-03-27 20:00:00,1343.73,5.22,3.01,1
MET-102,DMA-A,2024-04-04 10:00:00,1707.468,6.854,5.51,1
MET-102,DMA-A,2024-04-06 07:00:00,2226.953,6.84,4.25,1
MET-102,DMA-A,2024-04-17 18:00:00,1549.169,5.658,5.12,1
MET-102,DMA-A,2024-04-27 15:00:00,1550.76,7.96,3.91,1
MET-102,DMA-A,2024-04-28 17:00:00,574.136,2.33,3.68,1
MET-102,DMA-A,2024-05-03 17:00:00,2812.264,10.14,6.49,1
MET-102,DMA-A,2024-05-08 01:00:00,1895.766,7.25,6.49,1
MET-102,DMA-A,2024-05-20 06:00:00,2166.313,8.567,3.88,1
MET-102,DMA-A,2024-06-17 14:00:00,648.788,8.61,2.96,1
MET-102,DMA-A,2024-06-24 11:00:00,642.859,8.627,6.13,1
MET-102,DMA-A,2024-06-25 14:00:00,2018.488,8.15,4.72,1
MET-102,DMA-A,2024-06-26 03:00:00,2236.113,9.174,41.8,1
MET-102,DMA-A,2024-07-16 15:00:00,771.693,3.05,41.8,1
MET-102,DMA-A,2024-07-20 06:00:00,2116.537,8.016,6.61,1
MET-102,DMA-A,2024-07-22 17:00:00,705.374,2.831,5.39,1
MET-102,DMA-A,2024-08-01 13:00:00,485.646,2.0,3.21,1
MET-102,DMA-A,2024-08-05 22:00:00,2948.491,7.14,5.35,1
MET-102,DMA-A,2024-08-06 10:00:00,1461.982,7.154,4.21,1
MET-102,DMA-A,2024-08-16 10:00:00,2379.878,9.771,5.23,1
MET-102,DMA-A,2024-08-20 08:00:00,1133.235,4.17,6.65,1
MET-102,DMA-A,2024-08-24 16:00:00,545.395,2.02,7.0,1
MET-102,DMA-A,2024-09-02 01:00:00,2337.704,9.43,3.45,1
MET-102,DMA-A,2024-09-08 15:00:00,456.379,1.82,3.31,1
MET-102,DMA-A,2024-09-09 07:00:00,2732.083,9.86,3.14,1
MET-102,DMA-A,2024-09-12 10:00:00,624.627,2.392,6.9,1
MET-102,DMA-A,2024-09-21 00:00:00,1126.739,4.092,3.21,1
MET-102,DMA-A,2024-09-21 09:00:00,1555.958,6.22,5.65,1
MET-102,DMA-A,2024-09-24 13:00:00,844.894,2.97,5.28,1
MET-102,DMA-A,2024-09-27 21:00:00,2775.725,2.97,3.81,1
MET-102,DMA-A,2024-10-07 04:00:00,1726.406,6.445,6.53,1
MET-102,DMA-A,2024-10-10 23:00:00,1589.079,6.1,6.4,1
MET-102,DMA-A,2024-10-17 00:00:00,1986.603,7.46,5.04,1
MET-102,DMA-A,2024-10-20 05:00:00,1954.194,7.59,6.98,1
MET-102,DMA-A,2024-10-27 15:00:00,1940.252,5.36,3.66,1
MET-102,DMA-A,2024-11-05 12:00:00,177.452,0.643,2.99,1
MET-102,DMA-A,2024-11-08 08:00:00,2645.138,10.15,4.15,1
MET-102,DMA-A,2024-11-28 16:00:00,2346.078,9.11,2.69,1
MET-102,DMA-A,2024-12-01 12:00:00,1923.651,7.02,3.72,1
MET-102,DMA-A,2024-12-01 19:00:00,1322.768,5.2,2.75,1
MET-102,DMA-A,2024-12-09 04:00:00,189.295,0.667,6.68,1
MET-102,DMA-A,2025-01-02 00:00:00,2269.375,0.663,4.06,1
MET-102,DMA-A,2025-01-11 04:00:00,2538.269,0.67,4.52,1
MET-102,DMA-A,2025-01-23 03:00:00,2765.236,10.03,5.57,1
MET-102,DMA-A,2025-01-29 15:00:00,1183.627,4.462,3.22,1
MET-102,DMA-A,2025-02-02 23:00:00,362.39,1.423,3.08,1
MET-102,DMA-A,2025-02-05 01:00:00,366.125,9.161,6.47,1
MET-102,DMA-A,2025-02-05 17:00:00,55.051,0.2,6.3,1
MET-102,DMA-A,2025-02-14 12:00:00,1790.931,6.96,3.02,1
MET-102,DMA-A,2025-02-25 02:00:00,1023.575,4.161,3.3,1
MET-102,DMA-A,2025-03-05 10:00:00,113.07,0.414,4.69,1
MET-102,DMA-A,2025-03-11 02:00:00,2921.241,0.41,6.69,1
MET-102,DMA-A,2025-03-11 03:00:00,474.325,1.69,3.68,1
MET-102,DMA-A,2025-03-11 05:00:00,296.723,1.156,5.41,1
MET-102,DMA-A,2025-03-28 22:00:00,2997.12,5.788,4.25,1
MET-102,DMA-A,2025-03-31 17:00:00,2108.108,7.565,6.92,1
MET-102,DMA-A,2025-04-02 23:00:00,486.246,1.98,5.67,1
MET-102,DMA-A,2025-04-05 20:00:00,1465.484,5.798,6.46,1
MET-102,DMA-A,2025-04-14 08:00:00,311.052,1.126,3.23,1
MET-102,DMA-A,2025-04-18 21:00:00,786.708,3.097,4.22,1
MET-102,DMA-A,2025-05-02 09:00:00,1928.363,7.333,54.1,1
MET-102,DMA-A,2025-05-04 10:00:00,140.01,0.502,3.26,1
MET-102,DMA-A,2025-05-07 13:00:00,685.366,2.464,4.55,1
MET-102,DMA-A,2025-05-10 08:00:00,668.512,9.65,4.53,1
MET-102,DMA-A,2025-05-11 07:00:00,2343.739,9.49,2.61,1
MET-102,DMA-A,2025-05-28 00:00:00,2467.164,9.06,5.1,1
MET-102,DMA-A,2025-06-04 18:00:00,2333.884,8.874,4.54,1
MET-102,DMA-A,2025-06-07 03:00:00,2255.972,8.94,63.5,1
MET-102,DMA-A,2025-06-11 10:00:00,1427.695,5.36,2.61,1
MET-102,DMA-A,2025-06-22 16:00:00,2148.662,8.415,4.71,1
MET-102,DMA-A,2025-06-23 14:00:00,1466.662,5.888,5.67,1
MET-102,DMA-A,2025-07-08 23:00:00,803.279,2.866,5.37,1
MET-102,DMA-A,2025-08-03 11:00:00,1532.721,5.663,3.09,1
MET-102,DMA-A,2025-08-18 14:00:00,1953.726,7.066,6.32,1
MET-102,DMA-A,2025-08-18 23:00:00,521.238,2.101,5.16,1
MET-102,DMA-A,2025-08-22 08:00:00,1827.361,7.29,6.14,1
MET-102,DMA-A,2025-09-15 23:00:00,1707.118,7.29,6.26,1
MET-102,DMA-A,2025-09-19 17:00:00,1292.092,5.05,6.65,1
MET-102,DMA-A,2025-09-24 00:00:00,1860.878,6.98,6.9,1
MET-102,DMA-A,2025-10-05 08:00:00,2568.37,9.07,6.58,1
MET-102,DMA-A,2025-11-24 00:00:00,2265.047,9.05,5.43,1
MET-102,DMA-A,2025-11-27 20:00:00,881.676,3.14,5.26,1
MET-102,DMA-A,2025-11-29 05:00:00,1806.969,6.69,5.57,1
MET-102,DMA-A,2025-12-01 06:00:00,2268.879,8.119,5.79,1
MET-102,DMA-A,2025-12-02 17:00:00,971.524,3.733,6.88,1
MET-102,DMA-A,2025-12-07 23:00:00,1277.773,5.111,6.66,1
MET-102,DMA-A,2025-12-10 08:00:00,1053.29,3.88,6.66,1
MET-102,DMA-A,2025-12-15 14:00:00,357.009,1.337,4.57,1
MET-102,DMA-A,2025-12-19 00:00:00,50.388,0.2,4.38,1
MET-102,DMA-A,2025-12-23 02:00:00,2020.055,7.859,3.15,1
MET-102,DMA-A,2025-12-23 07:00:00,836.183,3.07,4.66,1
MET-102,DMA-A,2025-12-26 09:00:00,2819.543,10.89,6.58,1
MET-102,DMA-A,2026-01-09 21:00:00,2459.564,9.08,6.14,1
MET-102,DMA-A,2026-01-13 05:00:00,2216.691,8.79,3.31,1
MET-102,DMA-A,2026-01-29 20:00:00,1200.501,4.83,2.55,1
MET-102,DMA-A,2026-02-07 06:00:00,801.824,3.006,4.28,1
MET-102,DMA-A,2026-02-08 02:00:00,2894.944,10.24,3.6,1
MET-102,DMA-A,2026-02-13 12:00:00,1196.489,4.87,5.56,1
MET-102,DMA-A,2026-02-14 00:00:00,582.579,2.33,5.22,1
MET-102,DMA-A,2026-02-20 00:00:00,2642.809,10.593,4.97,1
MET-103,DMA-A,2024-01-03 22:00:00,1602.626,6.61,2.61,1
MET-103,DMA-A,2024-01-11 21:00:00,2401.005,9.03,3.61,1
MET-103,DMA-A,2024-01-19 09:00:00,194.664,0.727,6.38,1
MET-103,DMA-A,2024-01-25 15:00:00,2589.659,10.63,5.81,1
MET-103,DMA-A,2024-02-03 20:00:00,695.756,2.55,5.04,1
MET-103,DMA-A,2024-02-12 12:00:00,777.95,2.97,6.07,1
MET-103,DMA-A,2024-02-23 08:00:00,1558.793,6.088,5.96,1
MET-103,DMA-A,2024-02-26 23:00:00,2526.27,9.578,6.53,1
MET-103,DMA-A,2024-03-16 04:00:00,1870.043,7.42,3.37,1
MET-103,DMA-A,2024-03-17 08:00:00,897.094,3.38,3.65,1
MET-103,DMA-A,2024-03-20 11:00:00,2489.314,8.86,6.95,1
MET-103,DMA-A,2024-03-21 23:00:00,1985.613,7.779,4.33,1
MET-103,DMA-A,2024-03-22 19:00:00,3117.807,8.89,45.7,1
MET-103,DMA-A,2024-03-23 13:00:00,1699.978,6.323,6.77,1
MET-103,DMA-A,2024-03-24 13:00:00,86.184,0.351,49.0,1
MET-103,DMA-A,2024-04-01 13:00:00,610.929,2.11,6.92,1
MET-103,DMA-A,2024-04-08 18:00:00,2464.679,8.83,6.44,1
MET-103,DMA-A,2024-04-12 05:00:00,2323.704,8.21,4.4,1
MET-103,DMA-A,2024-04-20 08:00:00,1340.436,8.128,5.13,1
MET-103,DMA-A,2024-05-05 18:00:00,916.272,3.413,3.99,1
MET-103,DMA-A,2024-05-05 23:00:00,1311.185,4.945,3.8,1
MET-103,DMA-A,2024-05-15 22:00:00,1881.081,6.75,5.32,1
MET-103,DMA-A,2024-05-20 11:00:00,2038.315,8.16,3.82,1
MET-103,DMA-A,2024-05-23 03:00:00,1972.464,9.93,5.2,1
MET-103,DMA-A,2024-05-24 00:00:00,2618.682,9.87,4.04,1
MET-103,DMA-A,2024-05-28 00:00:00,1420.375,5.67,5.18,1
MET-103,DMA-A,2024-06-14 21:00:00,1622.394,6.02,5.63,1
MET-103,DMA-A,2024-06-25 11:00:00,2674.072,9.452,5.63,1
MET-103,DMA-A,2024-06-27 09:00:00,2566.965,9.145,5.63,1
MET-103,DMA-A,2024-07-01 15:00:00,2454.384,8.95,3.11,1
MET-103,DMA-A,2024-07-06 17:00:00,2881.009,10.72,4.26,1
MET-103,DMA-A,2024-07-07 09:00:00,488.368,1.95,4.8,1
MET-103,DMA-A,2024-07-08 23:00:00,1359.602,5.283,3.19,1
MET-103,DMA-A,2024-07-13 18:00:00,2238.784,8.79,6.65,1
MET-103,DMA-A,2024-07-16 01:00:00,244.817,0.91,6.61,1
MET-103,DMA-A,2024-07-26 01:00:00,1806.476,6.895,2.56,1
MET-103,DMA-A,2024-07-28 11:00:00,1583.897,6.93,5.56,1
MET-103,DMA-A,2024-07-31 00:00:00,2155.384,8.573,6.04,1
MET-103,DMA-A,2024-08-17 23:00:00,917.391,3.52,3.79,1
MET-103,DMA-A,2024-08-19 01:00:00,1455.129,3.527,4.41,1
MET-103,DMA-A,2024-08-20 20:00:00,1021.737,4.2,3.42,1
MET-103,DMA-A,2024-08-27 14:00:00,1650.792,5.93,3.5,1
MET-103,DMA-A,2024-08-29 07:00:00,735.155,2.65,5.48,1
MET-103,DMA-A,2024-08-31 04:00:00,1682.031,6.844,6.41,1
MET-103,DMA-A,2024-09-03 06:00:00,1948.825,7.78,3.55,1
MET-103,DMA-A,2024-09-20 09:00:00,267.031,1.03,6.44,1
MET-103,DMA-A,2024-09-22 07:00:00,461.885,1.04,3.11,1
MET-103,DMA-A,2024-09-26 23:00:00,865.558,3.47,4.04,1
MET-103,DMA-A,2024-09-30 20:00:00,1058.27,3.77,5.98,1
MET-103,DMA-A,2024-10-04 06:00:00,902.374,3.43,3.87,1
MET-103,DMA-A,2024-10-26 09:00:00,2879.849,10.372,4.25,1
MET-103,DMA-A,2024-11-06 07:00:00,791.349,3.11,5.7,1
MET-103,DMA-A,2024-12-09 20:00:00,1133.102,4.09,4.64,1
MET-103,DMA-A,2024-12-22 19:00:00,1901.916,7.58,4.49,1
MET-103,DMA-A,2025-01-13 02:00:00,663.73,2.564,4.03,1
MET-103,DMA-A,2025-01-13 19:00:00,321.224,1.25,6.46,1
MET-103,DMA-A,2025-01-17 01:00:00,2850.582,11.51,5.1,1
MET-103,DMA-A,2025-01-17 12:00:00,2512.602,9.807,6.86,1
MET-103,DMA-A,2025-01-20 00:00:00,2829.322,11.2,4.14,1
MET-103,DMA-A,2025-02-08 13:00:00,2031.782,7.4,5.4,1
MET-103,DMA-A,2025-03-13 13:00:00,159.458,0.58,6.01,1
MET-103,DMA-A,2025-03-15 03:00:00,646.336,2.41,3.62,1
MET-103,DMA-A,2025-03-15 11:00:00,2439.886,9.316,3.83,1
MET-103,DMA-A,2025-03-20 10:00:00,999.071,3.868,5.55,1
MET-103,DMA-A,2025-03-24 06:00:00,1038.864,3.698,3.19,1
MET-103,DMA-A,2025-03-31 12:00:00,209.978,0.752,6.64,1
MET-103,DMA-A,2025-04-11 22:00:00,919.584,0.764,6.45,1
MET-103,DMA-A,2025-04-14 05:00:00,1190.113,4.641,3.77,1
MET-103,DMA-A,2025-04-19 04:00:00,1866.714,4.65,5.41,1
MET-103,DMA-A,2025-04-25 23:00:00,2560.883,9.581,4.96,1
MET-103,DMA-A,2025-04-29 03:00:00,2005.574,8.26,52.2,1
MET-103,DMA-A,2025-05-03 22:00:00,459.682,1.622,2.79,1
MET-103,DMA-A,2025-05-05 13:00:00,1931.597,7.555,6.74,1
MET-103,DMA-A,2025-05-14 23:00:00,414.343,1.61,5.62,1
MET-103,DMA-A,2025-06-04 21:00:00,1050.215,3.851,6.27,1
MET-103,DMA-A,2025-06-08 13:00:00,1414.339,5.386,5.22,1
MET-103,DMA-A,2025-06-16 13:00:00,2876.226,10.998,5.6,1
