Meter_ID,Leak_Events,High_Leak_Risk,Avg_Leak_Score,Read_Count,Leak_Rate_Percent
MET-101,7,39,0.0,101,6.93
MET-102,7,43,0.0,106,6.6
MET-103,4,46,0.0,114,3.51
MET-104,8,40,0.0,102,7.84
MET-105,6,41,0.0,99,6.06
MET-106,6,40,0.0,103,5.83
MET-107,9,47,0.0,100,9.0
MET-108,6,39,0.0,110,5.45
MET-109,3,38,0.0,96,3.12
MET-110,5,51,0.0,115,4.35
MET-111,3,38,0.0,89,3.37
MET-112,5,39,0.0,98,5.1
MET-113,9,49,0.0,116,7.76
MET-114,6,37,0.0,92,6.52
MET-115,7,45,0.0,102,6.86
MET-116,7,47,0.0,114,6.14
MET-117,6,46,0.0,109,5.5
MET-118,5,45,0.0,106,4.72
MET-119,10,49,0.0,118,8.47
MET-120,9,40,0.0,102,8.82
MET-121,3,50,0.0,121,2.48
MET-122,3,37,0.0,92,3.26
MET-123,6,43,0.0,105,5.71
MET-124,8,41,0.0,94,8.51
MET-125,7,49,0.0,118,5.93
MET-126,9,48,0.0,111,8.11
MET-127,5,50,0.0,108,4.63
MET-128,6,41,0.0,108,5.56
MET-129,12,52,0.0,122,9.84
MET-130,6,41,0.0,95,6.32
MET-131,7,50,0.0,122,5.74
MET-132,6,52,0.0,118,5.08
MET-133,9,47,0.0,118,7.63
MET-134,7,42,0.0,100,7.0
MET-135,4,48,0.0,120,3.33
MET-136,6,53,0.0,111,5.41
MET-137,5,41,0.0,101,4.95
MET-138,11,47,0.0,117,9.4
MET-139,3,41,0.0,107,2.8
MET-140,4,36,0.0,87,4.6
MET-141,4,46,0.0,114,3.51
MET-142,4,41,0.0,101,3.96
MET-143,8,40,0.0,101,7.92
MET-144,6,47,0.0,111,5.41
MET-145,5,42,0.0,104,4.81
MET-146,7,46,0.0,102,6.86
MET-147,4,46,0.0,107,3.74
MET-148,8,42,0.0,101,7.92
MET-149,11,49,0.0,125,8.8
MET-150,2,44,0.0,102,1.96
MET-151,4,40,0.0,106,3.77
MET-152,5,42,0.0,95,5.26
MET-153,5,33,0.0,95,5.26
MET-154,2,36,0.0,81,2.47
MET-155,4,57,0.0,131,3.05
MET-156,6,41,0.0,91,6.59
MET-157,4,39,0.0,97,4.12
MET-158,6,41,0.0,101,5.94
MET-159,4,34,0.0,90,4.44
MET-160,7,36,0.0,89,7.87
