Meter_ID,DMA_Zone,Violation_Count,Avg_Pressure,Max_Pressure,Read_Count
MET-101,DMA-A,0,5.455841584158415,62.0,101
MET-102,DMA-A,105,6.491603773584906,63.5,106
MET-103,DMA-A,114,6.100175438596491,52.2,114
MET-104,DMA-A,0,5.927156862745099,67.3,102
MET-105,DMA-A,59,7.677979797979798,59.8,99
MET-106,DMA-A,72,5.679514563106796,62.5,103
MET-107,DMA-A,65,4.9461,28.6,100
MET-108,DMA-A,109,5.120181818181819,53.5,110
MET-109,DMA-A,0,5.692708333333333,55.2,96
MET-110,DMA-A,115,6.467217391304348,62.2,115
MET-111,DMA-A,0,7.186741573033708,65.8,89
MET-112,DMA-A,0,5.754183673469387,41.8,98
MET-113,DMA-A,78,5.4431896551724135,50.9,116
MET-114,DMA-A,92,6.104565217391304,64.6,92
MET-115,DMA-A,79,5.915980392156864,68.0,102
MET-116,DMA-B,81,7.722807017543859,68.0,114
MET-117,DMA-B,108,6.144311926605504,59.2,109
MET-118,DMA-B,104,6.418190476190476,69.6,106
MET-119,DMA-B,118,5.6198305084745765,63.7,118
MET-120,DMA-B,55,4.7835294117647065,33.2,102
MET-121,DMA-B,82,5.377933884297521,53.1,121
MET-122,DMA-B,63,6.558369565217391,68.4,92
MET-123,DMA-B,59,5.486952380952381,59.9,105
MET-124,DMA-B,91,6.070425531914894,64.7,94
MET-125,DMA-B,83,4.8581355932203385,6.99,118
MET-126,DMA-B,66,5.144684684684684,56.5,111
MET-127,DMA-B,0,4.927037037037037,33.1,108
MET-128,DMA-B,0,5.247685185185185,51.1,108
MET-129,DMA-B,0,5.001311475409836,29.1,122
MET-130,DMA-B,65,5.136842105263158,43.4,95
MET-131,DMA-C,73,5.01483606557377,33.1,122
MET-132,DMA-C,81,5.157033898305085,61.8,118
MET-133,DMA-C,81,4.937881355932203,30.5,118
MET-134,DMA-C,68,4.5846,6.92,100
MET-135,DMA-C,83,6.227416666666667,59.5,120
MET-136,DMA-C,108,5.383693693693694,67.2,111
MET-137,DMA-C,0,7.822178217821782,63.9,101
MET-138,DMA-C,116,5.875213675213675,67.8,117
MET-139,DMA-C,0,5.181121495327103,33.8,107
MET-140,DMA-C,62,6.195402298850575,57.3,87
MET-141,DMA-C,75,5.356578947368421,61.3,114
MET-142,DMA-C,62,4.634950495049505,6.91,101
MET-143,DMA-C,100,4.748217821782178,6.93,101
MET-144,DMA-C,79,5.0726126126126125,27.9,111
MET-145,DMA-C,0,5.288076923076924,55.0,104
MET-146,DMA-D,73,5.708725490196078,61.3,102
MET-147,DMA-D,107,6.1492523364485985,58.9,107
MET-148,DMA-D,99,5.482772277227722,64.8,101
MET-149,DMA-D,74,4.70896,6.99,125
MET-150,DMA-D,100,5.367843137254901,63.2,102
MET-151,DMA-D,68,4.915094339622642,25.1,106
MET-152,DMA-D,68,5.300210526315789,29.4,95
MET-153,DMA-D,63,6.681894736842105,55.7,95
MET-154,DMA-D,56,5.714444444444444,42.8,81
MET-155,DMA-D,130,5.939007633587786,55.8,131
MET-156,DMA-D,0,7.095714285714286,56.2,91
MET-157,DMA-D,69,5.168144329896907,54.1,97
MET-158,DMA-D,65,6.365445544554455,52.8,101
MET-159,DMA-D,90,5.7714444444444455,60.2,90
MET-160,DMA-D,61,5.90505617977528,59.5,89
