Meter_ID,Flow_Variance,Sensor_Stuck_Count,Read_Count,Sensor_Stuck_Pct
MET-101,2060908509.3316848,0,101,0.0
MET-102,705966.2921379099,0,106,0.0
MET-103,744284.71701897,0,114,0.0
MET-104,327482.9572544958,0,102,0.0
MET-105,196124.24540761238,0,99,0.0
MET-106,5879785097.12569,0,103,0.0
MET-107,10258266613.234077,0,100,0.0
MET-108,27325559592.04597,0,110,0.0
MET-109,212820.707228342,0,96,0.0
MET-110,23446294395.745346,0,115,0.0
MET-111,24021931281.618473,0,89,0.0
MET-112,2329706.7544438625,0,98,0.0
MET-113,52009535166.383255,0,116,0.0
MET-114,1743996.0214814623,0,92,0.0
MET-115,126129487056.78735,0,102,0.0
MET-116,9233255225.470762,0,114,0.0
MET-117,9516288095.19944,0,109,0.0
MET-118,243460424.54554537,0,106,0.0
MET-119,4919968733.97236,0,118,0.0
MET-120,794683.863596617,0,102,0.0
MET-121,176901.14045017026,0,121,0.0
MET-122,341637.6706875261,0,92,0.0
MET-123,247175422.1335797,0,105,0.0
MET-124,366133.9213230535,0,94,0.0
MET-125,102640491663.4155,0,118,0.0
MET-126,166175401484.8824,0,111,0.0
MET-127,62087116041.84009,0,108,0.0
MET-128,14211836274.479687,0,108,0.0
MET-129,675727.8211445522,0,122,0.0
MET-130,4194008425.2156916,0,95,0.0
MET-131,332081.3330251563,0,122,0.0
MET-132,190406.8141485538,0,118,0.0
MET-133,36954963099.218346,0,118,0.0
MET-134,1923917.7661076565,0,100,0.0
MET-135,123397897119.54779,0,120,0.0
MET-136,1762562531.8022509,0,111,0.0
MET-137,67549228410.601456,0,101,0.0
MET-138,64262858419.03344,0,117,0.0
MET-139,1731710454.6893291,0,107,0.0
MET-140,352912491.1345239,0,87,0.0
MET-141,130063917461.23407,0,114,0.0
MET-142,2278872.284486964,0,101,0.0
MET-143,365161.92421158036,0,101,0.0
MET-144,812445.8391840912,0,111,0.0
MET-145,333840.6542244482,0,104,0.0
MET-146,21634764807.63601,0,102,0.0
MET-147,80132375609.36081,0,107,0.0
MET-148,51581750436.44788,0,101,0.0
MET-149,78119830003.1366,0,125,0.0
MET-150,14683030034.741081,0,102,0.0
MET-151,297516.6800462963,0,106,0.0
MET-152,307663.83750302065,0,95,0.0
MET-153,364171856948.56946,0,95,0.0
MET-154,183183.87723301133,0,81,0.0
MET-155,189616.67956993595,0,131,0.0
MET-156,5404382871.909505,0,91,0.0
MET-157,320487.6781843774,0,97,0.0
MET-158,1047394028.2396513,0,101,0.0
MET-159,53931470878.39778,0,90,0.0
MET-160,182613.2937856391,0,89,0.0
