Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version,Latitude,Longitude
R12777,MET-101,2024-01-01 05:00:00,2.53,1099.0,4.15,SCMH,C863,FALSE,,,19.8,100.0,1.0,v1.0,12.9998,80.2055
R12733,MET-150,2024-01-01 09:00:00,3.42,2294.0,8.05,SCMH,C724,False,,Email: user685@citygas.com flagged issue,17.4,99.5,0.995,v1.1,12.9239,80.0808
R9764,MET-120,2024-01-01 11:00:00,2.84,2951.0,11.15,SCMH,C755,nO,,"Leak near coords 13.1802,80.4406. Reported.",17.5,101.325,1.0,v1.0,80.0963,12.9665
R10470,MET-137,2024-01-01 21:00:00,6.25,1284.0,,SCMH,C894,N,,Customer C818 complained about billing.,21.1,101.325,0.99,v1.2,12.9718,80.2591
R11114,MET-155,2024-01-02 03:00:00,6.44,733.0,2.91,SCMH,C711,no,,Email: user143@citygas.com flagged issue,25.9,99.5,1.0,v1.1,13.0892,80.3034
R14207,MET-110,2024-01-02 04:00:00,4.84,146.0,0.58,SCMH,C726,false,SHUTDOWN,Customer C869 complained about billing.,23.0,100.0,1.002,v1.2,13.1332,80.4448
R11543,MET-117,2024-01-02 06:00:00,5.38,1514.0,5.31,SCMH,C708,1,MAINT,"Leak near coords 13.0147,80.3808. Reported.",18.6,103.0,0.998,v1.0,12.9717,80.3585
R14728,MET-115,2024-01-02 11:00:00,4.95,576.0,2.23,SCMH,C851,nO,,Contact: +91-7068008-68008 for followup,22.4,101.0,1.0,v1.0,12.9227,80.3327
R10802,MET-131,2024-01-02 14:00:00,5.61,1646.0,6.37,SCMH,C807 ,No,,Maintenance done by technician ID T625.,17.9,101.325,1.0,v1.0,13.093,80.0978
R9568,MET-110,2024-01-02 15:00:00,6.6,99.0,0.36,SCMH,C726,False,,Read manually. Meter OK.,18.5,101.325,1.01,v1.0,13.1332,80.4448
R11099,MET-125,2024-01-02 22:00:00,4.7,1402.0,4.94,SCMH,C843,0,,High consumption flagged for audit.,21.8,101.325,1.002,v1.0,13.0324,80.1744
R13621,MET-112,2024-01-02 23:00:00,3.66,3622.0,13.6,SCMH,C889,nO,,Read manually. Meter OK.,23.9,101.325,1.002,v1.1,13.238,80.1295
R12282,MET-155,2024-01-02 23:00:00,2.79,1210.0,4.28,SCMH,C711,false,,Maintenance done by technician ID T209.,18.4,102.5,0.995,v1.0,13.0892,80.3034
R11798,MET-118,2024-01-03 05:00:00,,2609.0,9.14,SCMH,C707,FALSE,,"Leak near coords 12.9349,80.1919. Reported.",22.1,101.325,0.995,v1.0,13.0599,80.0796
R13310,MET-113,2024-01-03 09:00:00,5.12,2113.0,7.91,SCMH,C839,NO,MAINT,Customer C786 complained about billing.,20.8,99.5,1.0,v1.2,13.183,80.0522
R9182,MET-112,2024-01-03 10:00:00,6.77,4742.0,17.51,SCMH,C889,nO,,"Leak near coords 13.184,80.0926. Reported.",24.2,101.325,0.99,v1.0,22.6252,80.1295
R10694,MET-124,2024-01-03 11:00:00,-5.75,1208.0,4.49,SCMH,C706,FALSE,,Read manually. Meter OK.,18.8,101.325,0.99,v1.1,12.9965,80.0754
R11275,MET-107,2024-01-03 12:00:00,4.8,1129.0,,SCMH,C757,true,,Customer called at +91-9826234-26234,25.1,101.325,0.99,v1.1,12.8732,80.1064
R12266,MET-132,2024-01-03 18:00:00,6.69,1339.0,5.35,SCMH,C756,n,,Read manually. Meter OK.,22.1,101.0,1.002,v1.0,12.9182,80.3353
R13825,MET-126,2024-01-03 20:00:00,2.52,4761.0,18.83,SCMH,C750,0,,Customer C837 complained about billing.,18.9,100.0,1.0,v1.1,13.1641,80.1801
R10067,MET-157,2024-01-03 21:00:00,2.57,1466.0,5.51,SCMH,C817,false,,Pressure drop observed at peak hours.,24.6,101.325,1.01,v1.0,12.8854,80.3715
R11705,MET-103,2024-01-03 22:00:00,2.61,1658.0,6.61,SCMH,C706,False,MAINT,,24.0,101.0,1.0,v1.0,13.1428,80.3815
R14443,MET-145,2024-01-04 06:00:00,6.5,1499.0,5.96,SCMH,C895,N,,,18.1,103.0,1.002,v1.1,12.9535,80.413
R11320,MET-107,2024-01-04 07:00:00,2.98,1131.0,4.36,SCMH,C757,FALSE,MAINT,Pressure drop observed at peak hours.,16.9,101.325,1.0,v1.0,12.8732,80.1064
R9046,MET-118,2024-01-04 12:00:00,3.77,1272.0,5.0,SCMH,C707,FALSE,,Inspection done. No issues.,22.8,102.5,1.005,v1.0,13.0599,80.0796
R13600,MET-144,2024-01-04 14:00:00,6.84,1896.0,7.42,SCMH,c755,N,,"Leak near coords 13.1079,80.2956. Reported.",21.7,102.5,0.995,v1.2,13.2137,80.2534
R11514,MET-121,2024-01-04 15:00:00,4.5,755.0,2.758,SCMH,C759,False,SHUTDOWN,"Leak near coords 12.8667,80.3661. Reported.",19.4,103.0,1.01,v1.1,13.0947,80.3952
R11007,MET-138,2024-01-04 17:00:00,3.94,361.0,1.41,SCMH,C740,No,,Read manually. Meter OK.,14.2,101.325,1.0,v1.0,12.8891,80.221
R9217,MET-116,2024-01-04 17:00:00,2.56,2231.0,0.92,SCMH,C808,FALSE,,Odorant alarm triggered. Cleared.,16.0,101.325,1.005,v1.0,12.9234,80.3416
R11757,MET-125,2024-01-04 22:00:00,6.02,4019.0,14.84,SCMH,C843,0,,,20.6,101.0,1.0,v1.1,13.03,80.17
R15004,MET-156,2024-01-05 02:00:00,0.0,970.0,3.59,SCMH,C886,FALSE,,"Leak near coords 12.8626,80.3321. Reported.",18.4,102.5,0.998,v1.0,23.978,80.3986
R9414,MET-109,2024-01-05 04:00:00,4.3,1336.0,4.87,SCMH,C888,No,,Pressure drop observed at peak hours.,16.3,101.325,0.99,v1.0,13.0904,80.0798
R15105,MET-118,2024-01-05 12:00:00,5.29,2321.0,9.08,SCMH,C707,no,,,21.9,101.325,1.002,v1.0,13.0599,80.0796
R11054,MET-155,2024-01-05 12:00:00,4.73,817.0,2.85,SCMH,C711,0,,Odorant alarm triggered. Cleared.,25.8,102.5,1.0,v1.0,13.0892,80.3034
R11231,MET-135,2024-01-05 12:00:00,5.59,-1808.0,7.12,SCMH,C771,nO,,"Leak near coords 13.2162,80.0807. Reported.",15.9,101.325,1.0,v1.0,13.2363,80.3584
