Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version,Latitude,Longitude,Flow_Outlier,Pressure_Outlier,Customer_Type,Join_Date,Is_Active,NTP_Offset_Sec,Asset_Valid,Negative_Flow,Negative_Energy,Direction_Flag,Flow_calibrated,Energy_calibrated,Is_Billable,Flow_std,Flow_same,Pressure_same,Energy_same,Sensor_Stuck,Sensor_Reliable,Meter_Capacity_SCMH,Capacity_Exceeded,Reading_Plausible,Pressure_Direction_Flag,Pressure_Imputed,DMA_Zone,Cal_Verified,Pressure_Violation,Month,Hour,Date,Season,Zone,CustomerType_Code,Season_Code,Zone_Code,Hour_bucket,Pressure_Drop,Flow_Change,Pressure_Drop_Flag,Leak_Alarm,Flow_Anomaly_Int,Leak_Propensity_Score,High_Leak_Risk,Energy_MMBtu,Peak_Window,Read_Success,Estimated_Read,Night_Flow_Anomaly,Reverse_Flow_Flag,Flow_Anomaly_Flag,outage_flag,prev_flag,event_type,Outage_Type,AMI_Reading,Billed_Reading,Billing_Gap,Billing_Discrepancy,Flow_Predicted,Segment,Pipe_Material,Time_Since_Last_Read_Hr,Read_SLA_Breach,Repair_SLA_Breach,CO2_kg,CO2_Tonnes
R12777,MET-101,2024-01-01 05:00:00,2.53,1099.0,4.15,SCMH,C863,No,NORMAL,,19.8,100.0,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1099.0,4.15,True,1066.857,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,1,5,2024-01-01,Winter,Zone_B,2,0,1,2024-01-01 05:00:00,0.0,0.0,False,0,0,0.0,False,39.5827,False,True,False,True,False,True,1,0.0,OUTAGE_START,Pressure Drop,4.15,4.02,0.13,False,1165.82,Low_Consumption,MDPE,,False,False,2100.654,2.100654
R11501,MET-101,2024-01-08 10:05:00,6.55,1019.0,3.85,SCMH,C863,No,NORMAL,Pressure drop observed at peak hours.,14.8,103.0,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,300,True,False,False,Forward,1019.0,3.85,True,1036.565,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,1,10,2024-01-08,Winter,Zone_B,2,0,1,2024-01-08 10:00:00,4.02,-80.0,False,0,0,0.0,False,36.7014,False,True,False,False,False,False,0,1.0,OUTAGE_END,Unknown,3.85,3.841,0.009,False,1016.6,Low_Consumption,MDPE,173.08333333333334,True,False,1947.743,1.947743
R9359,MET-101,2024-01-10 20:00:30,3.31,232.0,0.9,SCMH,C863,No,NORMAL,,20.4,102.5,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,30,True,False,False,Forward,232.0,0.9,True,230.373,False,False,False,False,True,500,False,True,Forward,False,DMA-A,False,False,1,20,2024-01-10,Winter,Zone_B,2,0,1,2024-01-10 20:00:00,-3.2399999999999998,-787.0,True,0,0,0.5,True,8.356,False,True,False,False,False,False,1,0.0,OUTAGE_START,Pressure Drop,0.9,0.888,0.012,False,280.93,Low_Consumption,MDPE,57.925,True,False,443.453,0.443453
R9950,MET-101,2024-01-15 13:00:00,6.6,477.0,1.87,SCMH,C863,Unknown,NORMAL,Reverse flow detected briefly.,14.9,100.0,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,477.0,1.87,True,470.926,False,False,False,False,True,500,False,True,Forward,False,DMA-A,False,False,1,13,2024-01-15,Winter,Zone_B,2,0,1,2024-01-15 13:00:00,3.2899999999999996,245.0,False,0,0,0.0,False,17.1801,False,True,False,False,False,False,0,1.0,OUTAGE_END,Unknown,1.87,1.832,0.038,False,526.19,Low_Consumption,MDPE,112.99166666666666,True,False,911.748,0.911748
R15026,MET-101,2024-01-18 08:00:00,6.6,1090.0,4.26,SCMH,C863,No,NORMAL,Night flow anomaly recorded.,24.8,101.325,1.01,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1100.9,4.303,True,1064.69,False,False,False,False,True,500,True,False,Forward,True,DMA-A,True,False,1,8,2024-01-18,Winter,Zone_B,2,0,1,2024-01-18 08:00:00,0.0,623.9000000000001,False,0,0,0.0,False,39.6512,False,True,False,False,False,False,0,0.0,,Unknown,4.303,4.121,0.182,False,1070.14,Low_Consumption,MDPE,67.0,True,False,2104.289,2.104289
R14085,MET-101,2024-01-20 02:00:00,6.66,301.0,1.2,SCMH,C863,No,SHUTDOWN,Maintenance done by technician ID [TECH-ID REDACTED].,20.6,101.325,0.998,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,300.398,1.198,False,294.671,False,False,False,False,True,500,False,True,Forward,False,DMA-A,True,False,1,2,2024-01-20,Winter,Zone_B,2,0,1,2024-01-20 02:00:00,0.0600000000000005,-800.5020000000001,False,0,0,0.0,False,10.8194,False,False,True,True,False,True,1,0.0,OUTAGE_START,Scheduled Maintenance,1.198,1.147,0.051,False,377.88,Low_Consumption,MDPE,42.0,True,True,574.186,0.574186
R13244,MET-101,2024-02-01 09:00:00,2.94,1204.0,4.65,SCMH,C863,Unknown,NORMAL,,18.9,100.0,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1204.0,4.65,True,1172.388,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,2,9,2024-02-01,Winter,Zone_B,2,0,1,2024-02-01 09:00:00,-3.72,903.602,True,0,0,0.5,True,43.3645,False,True,False,False,False,False,1,1.0,,Pressure Drop,4.65,4.431,0.219,False,1194.8,Low_Consumption,MDPE,295.0,True,False,2301.354,2.301354
R11659,MET-101,2024-02-09 02:59:00,5.86,1204.0,3.24,SCMH,C863,Unknown,NORMAL,Read manually. Meter OK.,17.2,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,-60,True,False,False,Forward,1204.0,3.24,True,1194.877,True,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,2,2,2024-02-09,Winter,Zone_B,2,0,1,2024-02-09 02:00:00,2.9200000000000004,0.0,False,0,0,0.0,False,43.3645,False,True,False,True,False,True,0,1.0,OUTAGE_END,Unknown,3.24,3.218,0.022,False,944.32,Low_Consumption,MDPE,185.98333333333332,True,False,2301.354,2.301354
R10878,MET-101,2024-02-15 01:00:00,7.0,995.0,3.86,SCMH,C863,Unknown,NORMAL,High consumption flagged for audit.,15.7,101.325,1.005,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,999.975,3.879,True,997.552,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,2,1,2024-02-15,Winter,Zone_B,2,0,1,2024-02-15 01:00:00,1.1399999999999997,-204.02499999999998,False,0,0,0.0,False,36.0161,False,True,False,True,False,True,0,0.0,,Unknown,3.879,3.802,0.077,False,1011.95,Low_Consumption,MDPE,142.01666666666668,True,False,1911.374,1.911374
R12660,MET-101,2024-02-27 02:00:30,3.5,64.0,0.23,SCMH,C863,No,MAINTENANCE,Odorant alarm triggered. Cleared.,16.5,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,30,True,False,False,Forward,64.0,0.23,False,63.669,False,False,False,False,True,500,False,True,Forward,False,DMA-A,False,False,2,2,2024-02-27,Winter,Zone_B,2,0,1,2024-02-27 02:00:00,-3.5,-935.975,True,0,0,0.5,True,2.3051,False,False,True,True,False,True,1,0.0,OUTAGE_START,Scheduled Maintenance,0.23,0.227,0.003,False,95.85,Low_Consumption,MDPE,289.0083333333333,True,True,122.332,0.122332
