Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version,Latitude,Longitude,Flow_calibrated,Energy_calibrated,Flow_std,Hour,Date,Month,Hour_bucket,Season,DMA_Zone,Flow_Change,Pressure_Drop,Pressure_Violation,Is_Billable,outage_flag,prev_flag,event_type,Sensor_Reliable,Read_Success,Estimated_Read,Energy_MMBtu,CO2_kg,CO2_Tonnes,Zone
R12777,MET-101,2024-01-01 05:00:00,2.53,1099.0,4.15,SCMH,C863,FALSE,,,19.8,100.0,1.0,v1.0,12.9998,80.2055,1099.0,4.15,1085.3691573508834,5,2024-01-01,1,2024-01-01 05:00:00,Winter,DMA-A,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,39.5827,2100.654,2.100654,Zone_B
R12733,MET-150,2024-01-01 09:00:00,3.42,2294.0,8.05,SCMH,C724,False,,Email: user685@citygas.com flagged issue,17.4,99.5,0.995,v1.1,12.9239,80.0808,2282.53,8.00975,2261.4759908836554,9,2024-01-01,1,2024-01-01 09:00:00,Winter,DMA-D,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,82.21,4362.885,4.362885,Zone_B
R9764,MET-120,2024-01-01 11:00:00,2.84,2951.0,11.15,SCMH,C755,nO,,"Leak near coords 13.1802,80.4406. Reported.",17.5,101.325,1.0,v1.0,12.9665,80.0963,2951.0,11.15,2976.3827627730943,11,2024-01-01,1,2024-01-01 11:00:00,Winter,DMA-B,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,106.2863,5640.614,5.640614,Zone_B
R10470,MET-137,2024-01-01 21:00:00,6.25,1284.0,,SCMH,C894,N,,Customer C818 complained about billing.,21.1,101.325,0.99,v1.2,12.9718,80.2591,1271.16,2.91,1266.4080000000001,21,2024-01-01,1,2024-01-01 21:00:00,Winter,DMA-C,0.0,0.0,False,True,0,0.0,,False,False,True,45.7834,2429.725,2.429725,Zone_B
R11114,MET-155,2024-01-02 03:00:00,6.44,733.0,2.91,SCMH,C711,no,,Email: user143@citygas.com flagged issue,25.9,99.5,1.0,v1.1,13.0892,80.3034,733.0,2.91,705.5966898715742,3,2024-01-02,1,2024-01-02 03:00:00,Winter,DMA-D,0.0,0.0,False,True,0,0.0,,False,False,True,26.4005,1401.075,1.401075,Zone_B
R14207,MET-110,2024-01-02 04:00:00,4.84,146.0,0.58,SCMH,C726,false,SHUTDOWN,Customer C869 complained about billing.,23.0,100.0,1.002,v1.2,13.1332,80.4448,146.292,0.58116,142.91641923810542,4,2024-01-02,1,2024-01-02 04:00:00,Winter,DMA-A,0.0,0.0,False,False,1,0.0,OUTAGE_START,False,False,True,5.269,279.626,0.279626,Zone_C
R11543,MET-117,2024-01-02 06:00:00,5.38,1514.0,5.31,SCMH,C708,1,MAINT,"Leak near coords 13.0147,80.3808. Reported.",18.6,103.0,0.998,v1.0,12.9717,80.3585,1510.972,5.299379999999999,1543.320278136457,6,2024-01-02,1,2024-01-02 06:00:00,Winter,DMA-B,0.0,0.0,False,False,0,0.0,,False,False,True,54.4207,2888.107,2.888107,Zone_B
R14728,MET-115,2024-01-02 11:00:00,4.95,576.0,2.23,SCMH,C851,nO,,Contact: +91-7068008-68008 for followup,22.4,101.0,1.0,v1.0,12.9227,80.3327,576.0,2.23,569.4901011938624,11,2024-01-02,1,2024-01-02 11:00:00,Winter,DMA-A,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,20.7458,1100.98,1.10098,Zone_B
R10802,MET-131,2024-01-02 14:00:00,5.61,1646.0,6.37,SCMH,C807 ,No,,Maintenance done by technician ID T625.,17.9,101.325,1.0,v1.0,13.093,80.0978,1646.0,6.37,1657.8763099123864,14,2024-01-02,1,2024-01-02 14:00:00,Winter,DMA-C,0.0,0.0,False,True,0,0.0,,False,False,True,59.2841,3146.207,3.146207,Zone_B
R9568,MET-110,2024-01-02 15:00:00,6.6,99.0,0.36,SCMH,C726,False,,Read manually. Meter OK.,18.5,101.325,1.01,v1.0,13.1332,80.4448,99.99,0.3636,100.50426367220985,15,2024-01-02,1,2024-01-02 15:00:00,Winter,DMA-A,-46.30200000000001,1.7599999999999998,False,True,0,1.0,OUTAGE_END,False,False,True,3.6013,191.121,0.191121,Zone_C
R11099,MET-125,2024-01-02 22:00:00,4.7,1402.0,4.94,SCMH,C843,0,,High consumption flagged for audit.,21.8,101.325,1.002,v1.0,13.0324,80.1744,1404.804,4.94988,1396.2308615019494,22,2024-01-02,1,2024-01-02 22:00:00,Winter,DMA-B,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,50.5969,2685.177,2.685177,Zone_B
R13621,MET-112,2024-01-02 23:00:00,3.66,3622.0,13.6,SCMH,C889,nO,,Read manually. Meter OK.,23.9,101.325,1.002,v1.1,13.238,80.1295,3629.244,13.6272,3581.5952822757117,23,2024-01-02,1,2024-01-02 23:00:00,Winter,DMA-A,0.0,0.0,False,True,1,0.0,OUTAGE_START,False,False,True,130.7146,6937.024,6.937024,Zone_C
R12282,MET-155,2024-01-02 23:00:00,2.79,1210.0,4.28,SCMH,C711,false,,Maintenance done by technician ID T209.,18.4,102.5,0.995,v1.0,13.0892,80.3034,1203.95,4.2586,1224.5952112472357,23,2024-01-02,1,2024-01-02 23:00:00,Winter,DMA-D,470.95000000000005,-3.6500000000000004,False,True,1,0.0,OUTAGE_START,False,False,True,43.3627,2301.258,2.301258,Zone_B
R11798,MET-118,2024-01-03 05:00:00,,2609.0,9.14,SCMH,C707,FALSE,,"Leak near coords 12.9349,80.1919. Reported.",22.1,101.325,0.995,v1.0,13.0599,80.0796,2595.955,9.0943,2577.490967823878,5,2024-01-03,1,2024-01-03 05:00:00,Winter,DMA-B,0.0,0.0,False,True,0,0.0,,False,False,True,93.4986,4961.971,4.961971,Zone_B
