Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,"Latitude,Longitude",Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version
R9001,MET125,2025-06-05 00:00,5.18,3884,14.62,Sm3/h,C843,"13.0324,80.1744",N,,Inspection done. No issues.,20.8,99.5,1.002,v1.0
R9002,MET-147,12/25/2024 14:00,6.87,781,2.93,Scmh,C726,"12.9747,80.2142",0,,Email: user812@citygas.com flagged issue,21.9,101.325,1.0,v1.0
R9003,MET--132,2024-01-27 14:00,-3,793,3.13,Scmh,C756," 12.9182 , 80.3353 ",0,MAINT,,21.3,101.0,1.0,v1.0
R9004,MET-131,2026-01-20 15:00,3.24,1130,4.46,m3/h,C807,"13.093,80.0978",no,MAINT,High consumption flagged for audit.,24.5,101.325,1.0,v1.1
R9005,met-108,2024-12-04 11:00,3.51,1434,5.02,Sm^3/h,C735,"13.1965,80.3709",nO,,,17.8,101.0,1.0,v1.0
R9006, MET-132 ,19-10-2024 12:00,4.93,1219,4.62,scmh,C756,"12.9182,80.3353",FALSE,,"Leak near coords 13.06,80.2606. Reported.",16.0,102.5,0.998,v1.0
R9007,MET-107,2024-03-23 18:00,4.31,744,2.91,sm^3/h,C757,"12.8732,80.1064",no,MAINT,,15.6,102.5,1.0,v1.0
R9008,MET-107,10/03/2024,5.43,"1,157",4.54,SCM/H,C757,"12.8732,80.1064",no,MAINT,"Leak near coords 13.0762,80.1322. Reported.",20.3,103.0,1.005,v1.2
R9009,MET-130,2025-01-24 11:00,4.4,1188,4.556,S m^3/h,C839,"12.8686,80.2389",no,MAINT,Maintenance done by technician ID T399.,22.7,101.325,1.0,v1.0
R9010,MET-134,2024-08-02 22:00,2.76,4210,14.86,scmh,C850,"13.2296,80.2745",nO,,Reverse flow detected briefly.,14.3,101.325,1.0,v1.2
R9011,MET138,2026-02-10 17:00,4.85,1118,4.02,scmh,C740,"12.8891,80.221",no,,Maintenance done by technician ID T672.,14.8,101.325,1.01,v1.1
R9012,MET -107,2024-04-10T00:00:00Z,4.92,1086,3.94,Scmh,c757,"12.8732,80.1064",No,,Maintenance done by technician ID T224.,17.9,101.325,1.01,v1.1
R9013,Met-120,21/05/2024,6.73,600,2.18,Scmh,C755,"12.9665,80.0963",n,,Calibration check passed.,22.0,102.5,0.99,v1.0
R9014,MET-155,2024-03-10 08:00,2.92,917,3.6,scmh,C711,"13.0892,80.3034",True,,Inspection done. No issues.,17.2,99.5,1.0,v1.1
R9015,Met-145,2024-07-22 12:00,4.96,1759,6.47,scm/h,C895,"12.9535,80.413",false,MAINT,Maintenance done by technician ID T322.,19.5,101.325,1.002,v1.0
R9016,MET-123,2026-02-03 10:00,6.48,,3.53,m3/h,C854,"12.9669,80.1824",no,,Customer called at +91-9820793-20793,16.3,101.325,1.0,v1.1
